SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Alloted Category,candidate Category,option No.
1,1,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
2,2,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
3,3,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
4,4,All India,"BELGAUM INST. OF MEDICAL SCI., BELGAUM",MBBS,Reported,-,-,-
5,5,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
6,6,Open Seat Quota,"AIIMS, New Delhi",MBBS,Not Reported,-,-,-
7,7,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
8,8,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
9,9,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
10,10,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
11,11,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
12,12,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
13,13,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
14,14,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
15,15,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
16,16,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
17,17,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
18,18,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
19,19,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
20,20,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
21,21,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
22,22,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
23,23,Open Seat Quota,"AIIMS, New Delhi",MBBS,Not Reported,-,-,-
24,24,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
25,25,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
26,26,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,Reported,-,-,-
27,27,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
28,29,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
29,30,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
30,31,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
31,32,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
32,33,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
33,34,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
34,35,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
35,36,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
36,37,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
37,38,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
38,39,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
39,40,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
40,41,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
41,42,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
42,43,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
43,44,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
44,45,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
