SNo,Rank,Allotted Quota,Allotted Institute,Course,Alloted Category,candidate Category,option No.,Remarks
1,1,-,-,-,-,-,-,Did not opt for Upgradation.
2,2,-,-,-,-,-,-,Did not opt for Upgradation.
3,3,-,-,-,-,-,-,Did not opt for Upgradation.
4,4,-,-,-,-,-,-,Did not opt for Upgradation.
5,5,-,-,-,-,-,-,Did not opt for Upgradation.
6,6,-,-,-,-,-,-,Did not fill up fresh choices.
7,7,-,-,-,-,-,-,Did not opt for Upgradation.
8,8,-,-,-,-,-,-,Did not opt for Upgradation.
9,9,-,-,-,-,-,-,Did not opt for Upgradation.
10,10,-,-,-,-,-,-,Did not opt for Upgradation.
11,11,-,-,-,-,-,-,Did not opt for Upgradation.
12,12,-,-,-,-,-,-,Did not opt for Upgradation.
13,13,-,-,-,-,-,-,Did not opt for Upgradation.
14,14,-,-,-,-,-,-,Did not opt for Upgradation.
15,15,-,-,-,-,-,-,Did not opt for Upgradation.
16,16,-,-,-,-,-,-,Did not opt for Upgradation.
17,17,-,-,-,-,-,-,Did not opt for Upgradation.
18,18,-,-,-,-,-,-,Did not opt for Upgradation.
19,19,-,-,-,-,-,-,Did not opt for Upgradation.
20,20,-,-,-,-,-,-,Did not opt for Upgradation.
21,21,-,-,-,-,-,-,Did not opt for Upgradation.
22,22,-,-,-,-,-,-,Did not opt for Upgradation.
23,23,-,-,-,-,-,-,Did not fill up fresh choices.
24,24,-,-,-,-,-,-,Did not opt for Upgradation.
25,25,-,-,-,-,-,-,Did not opt for Upgradation.
26,26,-,-,-,-,-,-,Did not opt for Upgradation.
27,27,-,-,-,-,-,-,Did not opt for Upgradation.
28,29,-,-,-,-,-,-,Did not opt for Upgradation.
29,30,-,-,-,-,-,-,Did not opt for Upgradation.
30,31,-,-,-,-,-,-,Did not opt for Upgradation.
31,32,-,-,-,-,-,-,Did not opt for Upgradation.
32,33,-,-,-,-,-,-,Did not opt for Upgradation.
33,34,-,-,-,-,-,-,Did not opt for Upgradation.
34,35,-,-,-,-,-,-,Did not opt for Upgradation.
35,36,-,-,-,-,-,-,Did not opt for Upgradation.
36,37,-,-,-,-,-,-,Did not opt for Upgradation.
37,38,-,-,-,-,-,-,Did not opt for Upgradation.
38,39,-,-,-,-,-,-,Did not opt for Upgradation.
39,40,-,-,-,-,-,-,Did not opt for Upgradation.
40,41,-,-,-,-,-,-,Did not opt for Upgradation.
41,42,-,-,-,-,-,-,Did not opt for Upgradation.
42,43,-,-,-,-,-,-,Did not opt for Upgradation.
43,44,-,-,-,-,-,-,Did not opt for Upgradation.
44,45,-,-,-,-,-,-,Did not opt for Upgradation.
45,46,-,-,-,-,-,-,Did not opt for Upgradation.
46,47,-,-,-,-,-,-,Did not opt for Upgradation.
47,48,-,-,-,-,-,-,Did not opt for Upgradation.
48,49,-,-,-,-,-,-,Did not opt for Upgradation.
49,50,-,-,-,-,-,-,Did not opt for Upgradation.
50,51,-,-,-,-,-,-,Did not opt for Upgradation.
51,52,-,-,-,-,-,-,Did not opt for Upgradation.
52,53,-,-,-,-,-,-,Did not opt for Upgradation.
53,54,-,-,-,-,-,-,Did not opt for Upgradation.
54,55,-,-,-,-,-,-,Did not opt for Upgradation.
55,56,-,-,-,-,-,-,Did not opt for Upgradation.
56,57,-,-,-,-,-,-,Did not opt for Upgradation.
57,58,-,-,-,-,-,-,Did not opt for Upgradation.
58,59,Open Seat Quota,"AIIMS, New Delhi , AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029,
Delhi (NCT), 110029",MBBS,Open,GN,1,Upgraded
59,60,-,-,-,-,-,-,Did not opt for Upgradation.
60,61,Open Seat Quota,"AIIMS, New Delhi , AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029,
Delhi (NCT), 110029",MBBS,Open,GN,1,Upgraded
61,62,-,-,-,-,-,-,No Upgradation
62,64,-,-,-,-,-,-,No Upgradation
63,65,-,-,-,-,-,-,No Upgradation
64,66,-,-,-,-,-,-,Did not opt for Upgradation.
